31001	Plan to whore out my sexy bitch tomorrow night and look for hot tops.  Here is the funniest response I get😂 
34115	You are a whore anyways, so don't complain bitch
30089	😂😂😂lmfao I love you hoe bitch thanks dadddy👅 
34006	For the hoe posting my man .. bitch you lame and just want clout GTFO 😭😭
34584	bitch (whore) see i'm not your bitch
34427	Every time this one bitch opens her mouth Im just like 🙄 what else huh ? What else you gon complain about today hoe.
33183	Bitches think I'm sayin' hoe like you fucc everybody. I say hoe like I say bitch. Lol try again.
32247	I'll eat a nigga phone before I let him sneak & put me on Snapchat IG Twitter FB💯 bitch you not finna ever make me lose no hoes
33254	I don't fuck with none of y'all bitch ass whores-
33685	I need to smoke & you bitch ass plugs acting like hoes 😤
30421	so me being the nice ass bitch i am, apologized to him thru chat. like ur hoe sent him a long ass message im telling you .and he just SEENED
34591	If Germans want rapefugees they can keep them. Poland will not accept a single rapefugee. Not even one!!! Poland remains proud and firm!
31764	👦🚓🚨 you my nigga!!! You a bitch tho I'll fuck you up bitch. 2k , madden? Anything hoe
30195	Bitch I'm cool af if you curve me you a lame hoe 😂
31061	I literally HATE drunk me. Bitch is a lil cunt
30340	Boy you a hoe or a bitch if you will
34035	and bitch why is you still watching my page hoe you been blocked 😂 df
32925	whoever boonk is, he's a fuck nigga     'i don't wanna kiss your ugly ass anyways' after your bitch ass got rejected 
30471	Im sorry but i gotta revisit this. Wtf. That shit canoed like a bitch. I bet its a grape swisher 😭 
32439	A hoe got one time to fuck me over and it's fuck you forever lil bitch 🖕
33021	hoes kill me wit thinking it's automatic beef cause we fucked wit the same nigga, bitch idgaf about you and i def had his head fucked up
33095	Karma a bitch y'all, ion fw that hoe
32366	Any mfing time this hoe always trying to make it seem like I'm the bad person you call for your daughter bitch you got her.
34170	Fanna start traveling bitch. Haha you hoes can't do that 🤗
